author,location,lat,lon
@LeslieDyste,"San Francisco,California,United States of America",37.7562,-122.4430
@KYGirlBrooke,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@KirkKelly,"Trenton,New Jersey,United States of America",40.2237,-74.7640
@darylsturgis,"New York,New York,United States of America",40.6943,-73.9249
@InfoOPjrd,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@ABC30,"Fresno,California,United States of America",36.7834,-119.7941
@garymoore1985,"Las Vegas,Nevada,United States of America",36.2291,-115.2607
@janewells,"Los Angeles,California,United States of America",34.1139,-118.4068
@patte151,"Lansing,Michigan,United States of America",42.7142,-84.5600
@MariaJMin,"Seattle,Washington,United States of America",47.6211,-122.3244
@alexlath,"Honolulu,Hawaii,United States of America",21.3294,-157.8460
@florentific,"San Francisco,California,United States of America",37.7562,-122.4430
@RascalRett,"Lancaster,California,United States of America",34.6934,-118.1753
@pumascloset,"San Diego,California,United States of America",32.8312,-117.1226
@tryamen,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@MarinaMommie,"San Francisco,California,United States of America",37.7562,-122.4430
@c_mars_,"Los Angeles,California,United States of America",34.1139,-118.4068
@notmeagain,"Los Angeles,California,United States of America",34.1139,-118.4068
@ijdrothman,"Portland,Oregon,United States of America",45.5372,-122.6500
@DavidShaneMcD,"Philadelphia,Pennsylvania,United States of America",40.0076,-75.1340
@Cece7771,"Los Angeles,California,United States of America",34.1139,-118.4068
@docmosho,"New Orleans,Louisiana,United States of America",30.0687,-89.9288
@mjprieve,"Chicago,Illinois,United States of America",41.8373,-87.6861
@MarieSiobsbhndy,"New Haven,Connecticut,United States of America",41.3112,-72.9245
@BlackNewsNow,"Raleigh,North Carolina,United States of America",35.8323,-78.6439
@DukevVan,"Seattle,Washington,United States of America",47.6211,-122.3244
@evyqueen_1,"Fresno,California,United States of America",36.7834,-119.7941
@Alex_Gantt,"Charlotte,North Carolina,United States of America",35.2079,-80.8303
@FloraStoneWomen,"Cleveland,Ohio,United States of America",41.4767,-81.6805
@GibbsKnotts,"Charleston,South Carolina,United States of America",32.8137,-79.9643
@elizsanchezTV,"San Diego,California,United States of America",32.8312,-117.1226
@misfittoyqueen,"Columbus,Ohio,United States of America",39.9860,-82.9852
@irenemonicas,"Los Angeles,California,United States of America",34.1139,-118.4068
@ZachZinsli,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@eeyanmiller,"Portland,Oregon,United States of America",45.5372,-122.6500
@ryanthewriter,"Los Angeles,California,United States of America",34.1139,-118.4068
@chastityashley,"Los Angeles,California,United States of America",34.1139,-118.4068
@Randyonthenews,"Wilmington,North Carolina,United States of America",34.2100,-77.8860
@OHaraNews,"Charlotte,North Carolina,United States of America",35.2079,-80.8303
@JoeyMikkael,"Los Angeles,California,United States of America",34.1139,-118.4068
@DonGarabedian,"San Francisco,California,United States of America",37.7562,-122.4430
@AnArtfulPenguin,"Reno,Nevada,United States of America",39.5497,-119.8483
@DishCentral,"Minneapolis,Minnesota,United States of America",44.9635,-93.2678
@casynchromama,"Oceanside,California,United States of America",33.2247,-117.3083
@btcecc,"Portland,Oregon,United States of America",45.5372,-122.6500
@ChescaCoelho,"San Francisco,California,United States of America",37.7562,-122.4430
@NRS_show,"New York,New York,United States of America",40.6943,-73.9249
@redvetttes,"Niagara Falls,New York,United States of America",43.0921,-79.0147
@sm_kaylor,"Santa Barbara,California,United States of America",34.4285,-119.7202
@ImHeatherHansen,"New York,New York,United States of America",40.6943,-73.9249
@AZMorningNews,"Phoenix,Arizona,United States of America",33.5722,-112.0891
@gilligan_jeff,"Denver,Colorado,United States of America",39.7621,-104.8759
@mmhill3788,"Kansas City,Kansas,United States of America",39.1234,-94.7443
@jocolatedo,"New York,New York,United States of America",40.6943,-73.9249
@PrincessKgs,"Austin,Texas,United States of America",30.3006,-97.7517
@wsbtv,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@LindaMi64500835,"New Haven,Connecticut,United States of America",41.3112,-72.9245
@bassman_michael,"Columbus,Ohio,United States of America",39.9860,-82.9852
@clc0304,"Houston,Texas,United States of America",29.7868,-95.3905
@danielpianko,"New York,New York,United States of America",40.6943,-73.9249
@kickitoldschool,"New York,New York,United States of America",40.6943,-73.9249
@sulkyracer,"New York,New York,United States of America",40.6943,-73.9249
@ama_ro_jo,"Knoxville,Tennessee,United States of America",35.9692,-83.9495
@arealpastiche,"Syracuse,New York,United States of America",43.0409,-76.1438
@brianhecht,"New York,New York,United States of America",40.6943,-73.9249
@Welding2KAG,"Kingsport,Tennessee,United States of America",36.5220,-82.5453
@commonsenzze,"New York,New York,United States of America",40.6943,-73.9249
@ronic214,"Evansville,Indiana,United States of America",37.9882,-87.5339
@Mojo70351087,"Minneapolis,Minnesota,United States of America",44.9635,-93.2678
@LeiCasans,"New York,New York,United States of America",40.6943,-73.9249
@paytonpark18,"Fort Lauderdale,Florida,United States of America",26.1412,-80.1464
@KelseyA85684858,"Tampa,Florida,United States of America",27.9937,-82.4454
@fullerhousewiki,"San Francisco,California,United States of America",37.7562,-122.4430
@jackie75176,"Houston,Texas,United States of America",29.7868,-95.3905
@KellySpringer3,"Indianapolis,Indiana,United States of America",39.7771,-86.1458
@JamesPMackieJr1,"Charleston,South Carolina,United States of America",32.8137,-79.9643
@_Breaking_Brad,"South Bend,Indiana,United States of America",41.6771,-86.2692
@HenYay,"San Diego,California,United States of America",32.8312,-117.1226
@landolakesgirl,"Fort Lauderdale,Florida,United States of America",26.1412,-80.1464
@MoreSky420,"Louisville,Kentucky,United States of America",38.1662,-85.6488
@jkbloom1,"Albuquerque,New Mexico,United States of America",35.1053,-106.6464
@Rocky4959,"San Bernardino,California,United States of America",34.1412,-117.2936
@JohnNewsomNR,"Greensboro,North Carolina,United States of America",36.0956,-79.8269
@somi_yaaa,"Orlando,Florida,United States of America",28.4788,-81.3420
@ramsesleroi,"San Francisco,California,United States of America",37.7562,-122.4430
@KoodoosLearning,"Seattle,Washington,United States of America",47.6211,-122.3244
@joemandrums,"San Francisco,California,United States of America",37.7562,-122.4430
@KarimahAsha,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@Chickasee,"Augusta,Maine,United States of America",44.3341,-69.7319
@JKuilan07,"Miami,Florida,United States of America",25.7840,-80.2102
@SeanInTheCity,"Dallas,Texas,United States of America",32.7937,-96.7662
@98PXYRochester,"Rochester,New York,United States of America",43.1680,-77.6162
@davidadams_56,"Seattle,Washington,United States of America",47.6211,-122.3244
@IlliniBizDean,"Urbana,Illinois,United States of America",40.1106,-88.1972
@BrianThole1,"San Diego,California,United States of America",32.8312,-117.1226
@jrosietighe,"Cleveland,Ohio,United States of America",41.4767,-81.6805
@twelvebooks,"New York,New York,United States of America",40.6943,-73.9249
@LarryCampos1950,"Houston,Texas,United States of America",29.7868,-95.3905
@LovToRideMyTrek,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@madmac9,"Phoenix,Arizona,United States of America",33.5722,-112.0891
@KayBrooks,"Nashville,Tennessee,United States of America",36.1714,-86.7844
@MareBiddle,"Portland,Oregon,United States of America",45.5372,-122.6500
@CassieDiLaura,"Los Angeles,California,United States of America",34.1139,-118.4068
@TimBryantRadio,"Athens,Georgia,United States of America",33.9508,-83.3689
@nm61718,"Columbia,South Carolina,United States of America",34.0370,-80.9042
@arbtim,"Chicago,Illinois,United States of America",41.8373,-87.6861
@WildcatLizzieRN,"Phoenix,Arizona,United States of America",33.5722,-112.0891
@calbeach95,"Denver,Colorado,United States of America",39.7621,-104.8759
@mkaurz,"San Jose,California,United States of America",37.3018,-121.8485
@Samanthics1,"Austin,Texas,United States of America",30.3006,-97.7517
@Reloaded_Kore,"New York,New York,United States of America",40.6943,-73.9249
@MrsRobe21241883,"Toledo,Ohio,United States of America",41.6639,-83.5822
@andie910,"Pittsburgh,Pennsylvania,United States of America",40.4396,-79.9763
@talli_approved,"Los Angeles,California,United States of America",34.1139,-118.4068
@FredaWarlick,"Greenville,South Carolina,United States of America",34.8363,-82.3650
@NVorobyov,"New York,New York,United States of America",40.6943,-73.9249
@AblesArt,"New Braunfels,Texas,United States of America",29.6995,-98.1153
@lambchop4evr,"Los Angeles,California,United States of America",34.1139,-118.4068
@thatwasgross,"Tampa,Florida,United States of America",27.9937,-82.4454
@magicaalpayne,"Los Angeles,California,United States of America",34.1139,-118.4068
@Doc_JJK,"Erie,Pennsylvania,United States of America",42.1168,-80.0733
@EOrdiniza,"San Francisco,California,United States of America",37.7562,-122.4430
@EmmaTello12,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@RobCorsaro,"Omaha,Nebraska,United States of America",41.2628,-96.0495
@Bookgirl96,"New York,New York,United States of America",40.6943,-73.9249
@OTMLAW,"New York,New York,United States of America",40.6943,-73.9249
@bst19551,"Baltimore,Maryland,United States of America",39.3051,-76.6144
@tellygonzalez,"Hartford,Connecticut,United States of America",41.7661,-72.6834
@DruckerJake,"New York,New York,United States of America",40.6943,-73.9249
@MelissaMWestInk,"Salt Lake City,Utah,United States of America",40.7774,-111.9301
@mapledonut,"Los Angeles,California,United States of America",34.1139,-118.4068
@DrPriceMitchell,"Seattle,Washington,United States of America",47.6211,-122.3244
@vikas_v,"New York,New York,United States of America",40.6943,-73.9249
@jujusfurrykids,"Houston,Texas,United States of America",29.7868,-95.3905
@DallasBlonde822,"Dallas,Texas,United States of America",32.7937,-96.7662
@AbbeyJones11,"Providence,Rhode Island,United States of America",41.8229,-71.4186
@jaclynapplegate,"Tucson,Arizona,United States of America",32.1546,-110.8782
@rcastle06,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@InspiredMoment3,"Tulsa,Oklahoma,United States of America",36.1284,-95.9042
@KAIJUKING23,"Orlando,Florida,United States of America",28.4788,-81.3420
@InStyle,"New York,New York,United States of America",40.6943,-73.9249
@awsteller,"Kansas City,Missouri,United States of America",39.1239,-94.5541
@susankburk,"New York,New York,United States of America",40.6943,-73.9249
@KasawneScott,"Murfreesboro,Tennessee,United States of America",35.8493,-86.4098
@LARGESSE9826,"Tucson,Arizona,United States of America",32.1546,-110.8782
@CrazyDeeDVD,"Las Vegas,Nevada,United States of America",36.2291,-115.2607
@trashcinephile,"Los Angeles,California,United States of America",34.1139,-118.4068
@queenymom,"Charlotte,North Carolina,United States of America",35.2079,-80.8303
@revdonna,"Los Angeles,California,United States of America",34.1139,-118.4068
@RealDHandelman,"New York,New York,United States of America",40.6943,-73.9249
@sammyblacketer,"Omaha,Nebraska,United States of America",41.2628,-96.0495
@ThumpForTrump,"Houston,Texas,United States of America",29.7868,-95.3905
@nopenevernotno,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@Kenwyn84,"Los Angeles,California,United States of America",34.1139,-118.4068
@DOBBERAL,"Leesburg,Florida,United States of America",28.7674,-81.8981
@lovesex5,"Phoenix,Arizona,United States of America",33.5722,-112.0891
@Chermont777,"Los Angeles,California,United States of America",34.1139,-118.4068
@AngelsWin,"Irvine,California,United States of America",33.6772,-117.7738
@SonnySnow13,"Charlotte,North Carolina,United States of America",35.2079,-80.8303
@Dmacleod59,"Erie,Pennsylvania,United States of America",42.1168,-80.0733
@HeavyMetalRulz,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@Nastyness61,"San Diego,California,United States of America",32.8312,-117.1226
@cwhitfi7,"Dalton,Georgia,United States of America",34.7689,-84.9711
@LaurenPozenWSB,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@brizabantel,"Mesa,Arizona,United States of America",33.4017,-111.7181
@FrankAntenori,"Tucson,Arizona,United States of America",32.1546,-110.8782
@rbongard,"San Francisco,California,United States of America",37.7562,-122.4430
@RoxY968,"New York,New York,United States of America",40.6943,-73.9249
@MarnieLevy,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@rngslayden,"Oceanside,California,United States of America",33.2247,-117.3083
@QueenElisabeth,"Philadelphia,Pennsylvania,United States of America",40.0076,-75.1340
@MarHendersonEsq,"Los Angeles,California,United States of America",34.1139,-118.4068
@RealDLHughley,"New York,New York,United States of America",40.6943,-73.9249
@suzetteferretti,"Los Angeles,California,United States of America",34.1139,-118.4068
@MakeItPlain,"New York,New York,United States of America",40.6943,-73.9249
@NylaNorris,"Irvine,California,United States of America",33.6772,-117.7738
@JAllenWerner,"Austin,Texas,United States of America",30.3006,-97.7517
@norriski4nge,"Los Angeles,California,United States of America",34.1139,-118.4068
@FranMor46688646,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@KJK_Law,"Cleveland,Ohio,United States of America",41.4767,-81.6805
@jruizmailbox,"West Palm Beach,Florida,United States of America",26.7467,-80.1314
@OfficialHudsonU,"New York,New York,United States of America",40.6943,-73.9249
@badboy4u,"San Francisco,California,United States of America",37.7562,-122.4430
@jessicawohl,"Chicago,Illinois,United States of America",41.8373,-87.6861
@MotownMs,"New York,New York,United States of America",40.6943,-73.9249
@DCMarvelFan_83,"Roanoke,Virginia,United States of America",37.2785,-79.9580
@MadDogFL62,"Tampa,Florida,United States of America",27.9937,-82.4454
@ChrisHuey11,"Birmingham,Alabama,United States of America",33.5276,-86.7988
@keishajones,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@KarenHeathAlle2,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@matthewbr007,"Orlando,Florida,United States of America",28.4788,-81.3420
@AngieRyding,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@chryslus,"New York,New York,United States of America",40.6943,-73.9249
@KPIXtv,"San Francisco,California,United States of America",37.7562,-122.4430
@kTHEstraub,"Chicago,Illinois,United States of America",41.8373,-87.6861
@wanganniej,"New York,New York,United States of America",40.6943,-73.9249
@Velvette1,"Las Vegas,Nevada,United States of America",36.2291,-115.2607
@MrVTousd,"San Francisco,California,United States of America",37.7562,-122.4430
@toughbreak78,"Detroit,Michigan,United States of America",42.3834,-83.1024
@THensleyRN,"Ocala,Florida,United States of America",29.1803,-82.1495
@kadwar,"New York,New York,United States of America",40.6943,-73.9249
@HankMorse,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@CassyBlue3,"Philadelphia,Pennsylvania,United States of America",40.0076,-75.1340
@RodneyBrady5,"Slidell,Louisiana,United States of America",30.2882,-89.7826
@HouseOfNoDebt,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@LavelleGerald,"Pittsburgh,Pennsylvania,United States of America",40.4396,-79.9763
@DavidREnglish,"Cincinnati,Ohio,United States of America",39.1412,-84.5059
@jdaineh312,"San Francisco,California,United States of America",37.7562,-122.4430
@iamnateIV,"Phoenix,Arizona,United States of America",33.5722,-112.0891
@chrissulatl,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@teedernot,"Kansas City,Missouri,United States of America",39.1239,-94.5541
@vossex,"Chicago,Illinois,United States of America",41.8373,-87.6861
@HValleyHandymom,"New York,New York,United States of America",40.6943,-73.9249
@zizzyrose,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@BondsScott,"Dallas,Texas,United States of America",32.7937,-96.7662
@PatriotWillie,"Charlotte,North Carolina,United States of America",35.2079,-80.8303
@jolenemmaser,"Indianapolis,Indiana,United States of America",39.7771,-86.1458
@sarge5121976,"Detroit,Michigan,United States of America",42.3834,-83.1024
@Butchhall14,"Salisbury,North Carolina,United States of America",35.6657,-80.4910
@LUwasHERE,"Los Angeles,California,United States of America",34.1139,-118.4068
@RachelWard301,"Las Vegas,Nevada,United States of America",36.2291,-115.2607
@LAmag,"Los Angeles,California,United States of America",34.1139,-118.4068
@SykesStyle,"New York,New York,United States of America",40.6943,-73.9249
@indigenoussista,"Los Angeles,California,United States of America",34.1139,-118.4068
@Penny_Middleton,"New York,New York,United States of America",40.6943,-73.9249
@scnyny,"New York,New York,United States of America",40.6943,-73.9249
@ThorntonMcEnery,"New York,New York,United States of America",40.6943,-73.9249
@annempitches,"Los Angeles,California,United States of America",34.1139,-118.4068
@MemeFakeNews,"New York,New York,United States of America",40.6943,-73.9249
@lauren_lee_la,"Los Angeles,California,United States of America",34.1139,-118.4068
@Objective_Logic,"Los Angeles,California,United States of America",34.1139,-118.4068
@spldrtn77,"Kansas City,Missouri,United States of America",39.1239,-94.5541
@the59thStBridge,"New York,New York,United States of America",40.6943,-73.9249
@shadopan2000,"Sarasota,Florida,United States of America",27.3391,-82.5439
@IMISTHEBOWLBROS,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@cpelletier29,"Portland,Maine,United States of America",43.6773,-70.2715
@Designerlinecab,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@abjmjordan1,"Minneapolis,Minnesota,United States of America",44.9635,-93.2678
@cristymsilva,"Los Angeles,California,United States of America",34.1139,-118.4068
@GabrielRoybal,"San Francisco,California,United States of America",37.7562,-122.4430
@ClintEastwoodLA,"Los Angeles,California,United States of America",34.1139,-118.4068
@HomesByDelali,"Los Angeles,California,United States of America",34.1139,-118.4068
@alexbhannah,"San Francisco,California,United States of America",37.7562,-122.4430
@edwardrafferty2,"Akron,Ohio,United States of America",41.0802,-81.5219
@hechingerreport,"New York,New York,United States of America",40.6943,-73.9249
@blakenetizen,"Chicago,Illinois,United States of America",41.8373,-87.6861
@Zimshady9611,"Cleveland,Ohio,United States of America",41.4767,-81.6805
@DH_techwizards,"Philadelphia,Pennsylvania,United States of America",40.0076,-75.1340
@DavidGM64,"Dallas,Texas,United States of America",32.7937,-96.7662
@kingarthur22373,"Aurora,Illinois,United States of America",41.7638,-88.2901
@akhsilom,"Charlotte,North Carolina,United States of America",35.2079,-80.8303
@MarylkaMP,"Tucson,Arizona,United States of America",32.1546,-110.8782
@DylanMc71700791,"Memphis,Tennessee,United States of America",35.1047,-89.9773
@andrea_osborne1,"Minneapolis,Minnesota,United States of America",44.9635,-93.2678
@willownorkiki,"Greenville,South Carolina,United States of America",34.8363,-82.3650
@dannymazza,"Phoenix,Arizona,United States of America",33.5722,-112.0891
@MauroGM3,"Lawrence,Kansas,United States of America",38.9597,-95.2641
@gabrielach899,"Ithaca,New York,United States of America",42.4442,-76.5032
@MICHELE1223,"Los Angeles,California,United States of America",34.1139,-118.4068
@MyAfro,"San Francisco,California,United States of America",37.7562,-122.4430
@SJWhipp,"New York,New York,United States of America",40.6943,-73.9249
@AweSamScribbles,"Los Angeles,California,United States of America",34.1139,-118.4068
@rolebu1,"Kingsport,Tennessee,United States of America",36.5220,-82.5453
@SheriShannon27,"Richmond,Virginia,United States of America",37.5295,-77.4756
@PamMiller111,"Fort Smith,Arkansas,United States of America",35.3494,-94.3695
@JimScofield5,"Baltimore,Maryland,United States of America",39.3051,-76.6144
@UpshotNYT,"New York,New York,United States of America",40.6943,-73.9249
@ng101b,"Winston-Salem,North Carolina,United States of America",36.1029,-80.2610
@confusedabout,"Dallas,Texas,United States of America",32.7937,-96.7662
@sabrinaobscura,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@cassi_apple,"Dayton,Ohio,United States of America",39.7797,-84.1998
@TPRSoCal,"Los Angeles,California,United States of America",34.1139,-118.4068
@ashermaj,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@Story2,"New York,New York,United States of America",40.6943,-73.9249
@mckensiehobbs,"Indianapolis,Indiana,United States of America",39.7771,-86.1458
@missveewhoo,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@JohnAHole1,"Myrtle Beach,South Carolina,United States of America",33.7096,-78.8843
@FernyOfficial,"Bellingham,Washington,United States of America",48.7543,-122.4687
@RichBoucher1,"Worcester,Massachusetts,United States of America",42.2705,-71.8079
@debbeachamatl,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@Declas2019,"Phoenix,Arizona,United States of America",33.5722,-112.0891
@NantucketGrrl,"Orlando,Florida,United States of America",28.4788,-81.3420
@JonDahomey,"Charleston,West Virginia,United States of America",38.3484,-81.6323
@roc_elle,"San Jose,California,United States of America",37.3018,-121.8485
@mysticflavor,"San Francisco,California,United States of America",37.7562,-122.4430
@cheppermann,"Denton,Texas,United States of America",33.2176,-97.1421
@tigerbeat,"San Francisco,California,United States of America",37.7562,-122.4430
@wimabean2,"Pittsburgh,Pennsylvania,United States of America",40.4396,-79.9763
@JWCromerDetroit,"Detroit,Michigan,United States of America",42.3834,-83.1024
@CoryGroshek,"Green Bay,Wisconsin,United States of America",44.5150,-87.9896
@bskye7,"New York,New York,United States of America",40.6943,-73.9249
@AshleyC37461732,"West Palm Beach,Florida,United States of America",26.7467,-80.1314
@socialitelife,"Los Angeles,California,United States of America",34.1139,-118.4068
@CarlosC64399607,"Phoenix,Arizona,United States of America",33.5722,-112.0891
@blueBooBooBear,"San Diego,California,United States of America",32.8312,-117.1226
@KyleAbbot,"Los Angeles,California,United States of America",34.1139,-118.4068
@SpiresCheryl,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@RickiAdoroIV,"Wailuku,Hawaii,United States of America",20.8834,-156.5059
@catfern93,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@HelveticLA,"Los Angeles,California,United States of America",34.1139,-118.4068
@timcrawford829,"Lynchburg,Virginia,United States of America",37.4003,-79.1908
@politimix,"Los Angeles,California,United States of America",34.1139,-118.4068
@moragaannie1,"San Francisco,California,United States of America",37.7562,-122.4430
@Enciniman1,"San Diego,California,United States of America",32.8312,-117.1226
@loveisallever,"New York,New York,United States of America",40.6943,-73.9249
@aboutreed,"Los Angeles,California,United States of America",34.1139,-118.4068
@ericathetrojan,"Los Angeles,California,United States of America",34.1139,-118.4068
@briantrimble191,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@texasmaga2020,"Houston,Texas,United States of America",29.7868,-95.3905
@FlowerNewsQueen,"Los Angeles,California,United States of America",34.1139,-118.4068
@tzap00,"Bowling Green,Ohio,United States of America",41.3773,-83.6500
@AJVillali,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@TVSandra,"Greenville,South Carolina,United States of America",34.8363,-82.3650
@Soulstainable,"Rochester,New York,United States of America",43.1680,-77.6162
@staygoldenPC,"Pittsburgh,Pennsylvania,United States of America",40.4396,-79.9763
@CutePinup,"Las Vegas,Nevada,United States of America",36.2291,-115.2607
@Bgbruening,"Sacramento,California,United States of America",38.5667,-121.4683
@JAMESMITCH290,"Canton,Ohio,United States of America",40.8076,-81.3677
@Roserimi3,"New York,New York,United States of America",40.6943,-73.9249
@ohthatbre,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@mattwrighttv,"Cleveland,Ohio,United States of America",41.4767,-81.6805
@tracysolomon,"Tampa,Florida,United States of America",27.9937,-82.4454
@Mteuzi,"San Francisco,California,United States of America",37.7562,-122.4430
@priestis,"New York,New York,United States of America",40.6943,-73.9249
@jennnx9,"Dallas,Texas,United States of America",32.7937,-96.7662
@inonic_,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@12gourmetfoodie,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@sarahkaneissexy,"New York,New York,United States of America",40.6943,-73.9249
@bigblockbuick,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@AustinLouis5,"Zanesville,Ohio,United States of America",39.9567,-82.0133
@LK_inLA,"Los Angeles,California,United States of America",34.1139,-118.4068
@mattschroll,"Philadelphia,Pennsylvania,United States of America",40.0076,-75.1340
@AEVADUPREE,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@mklove2,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@debjnich,"Tacoma,Washington,United States of America",47.2431,-122.4531
@DjJudgeMental,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@Gleelover145,"Eugene,Oregon,United States of America",44.0563,-123.1173
@cloudsaregod2,"Youngstown,Ohio,United States of America",41.0993,-80.6463
@MarkRountreeAtl,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@ACCOUNT99685169,"New York,New York,United States of America",40.6943,-73.9249
@BIGnTALLoutlet,"South Bend,Indiana,United States of America",41.6771,-86.2692
@BradyP,"Orlando,Florida,United States of America",28.4788,-81.3420
@LizLoza_FF,"Los Angeles,California,United States of America",34.1139,-118.4068
@AmandaNicole047,"Houston,Texas,United States of America",29.7868,-95.3905
@dr_nickiw,"Durham,North Carolina,United States of America",35.9797,-78.9037
@HumorInstitute,"Los Angeles,California,United States of America",34.1139,-118.4068
@CateTcaT,"Chicago,Illinois,United States of America",41.8373,-87.6861
@BreakingBalls00,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@nindalorthrup,"Columbus,Ohio,United States of America",39.9860,-82.9852
@MissyB4Trump,"San Diego,California,United States of America",32.8312,-117.1226
@RikkiKlausWSB,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@CastleGRP,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@WinstonWatchman,"Winston-Salem,North Carolina,United States of America",36.1029,-80.2610
@redisthenewcool,"Los Angeles,California,United States of America",34.1139,-118.4068
@KGO810,"San Francisco,California,United States of America",37.7562,-122.4430
@way2goBitch,"Los Angeles,California,United States of America",34.1139,-118.4068
@ChristinaKilday,"Providence,Rhode Island,United States of America",41.8229,-71.4186
@EarthAwareness,"Wichita,Kansas,United States of America",37.6897,-97.3442
@CarolineBanuelo,"Santa Rosa,California,United States of America",38.4465,-122.7060
@PattySantv,"San Antonio,Texas,United States of America",29.4722,-98.5247
@sleepymiss218,"New York,New York,United States of America",40.6943,-73.9249
@karenjlfegely,"Philadelphia,Pennsylvania,United States of America",40.0076,-75.1340
@meghancnyc,"New York,New York,United States of America",40.6943,-73.9249
@jrwortman,"New York,New York,United States of America",40.6943,-73.9249
@bsimmons277,"Houston,Texas,United States of America",29.7868,-95.3905
@allibreen,"New York,New York,United States of America",40.6943,-73.9249
@Jon_Snows_Lady,"New York,New York,United States of America",40.6943,-73.9249
@boreskes,"Los Angeles,California,United States of America",34.1139,-118.4068
@ToneCapone42,"Salt Lake City,Utah,United States of America",40.7774,-111.9301
@Michaeltrucker7,"Los Angeles,California,United States of America",34.1139,-118.4068
@surquiyork,"New York,New York,United States of America",40.6943,-73.9249
@FOX26Houston,"Houston,Texas,United States of America",29.7868,-95.3905
@KMPBlog,"New York,New York,United States of America",40.6943,-73.9249
@Dperry281,"Jackson,Tennessee,United States of America",35.6533,-88.8352
@strwar,"Tulsa,Oklahoma,United States of America",36.1284,-95.9042
@AlyssaHymanWSB,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@johncassity1,"Racine,Wisconsin,United States of America",42.7274,-87.8135
@meZachP,"Minneapolis,Minnesota,United States of America",44.9635,-93.2678
@dmmktg,"Phoenix,Arizona,United States of America",33.5722,-112.0891
@jamesmaquino1,"Tacoma,Washington,United States of America",47.2431,-122.4531
@NovaLuxurious,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@BamjcastA,"Minneapolis,Minnesota,United States of America",44.9635,-93.2678
@airam_m_,"Los Angeles,California,United States of America",34.1139,-118.4068
@jbustillos3,"Dallas,Texas,United States of America",32.7937,-96.7662
@ericaewilliams,"Austin,Texas,United States of America",30.3006,-97.7517
@LoriIllia,"Santa Rosa,California,United States of America",38.4465,-122.7060
@ParnellKate,"New York,New York,United States of America",40.6943,-73.9249
@JulianaLoBiondo,"Poughkeepsie,New York,United States of America",41.6949,-73.9210
@Partsrickbayern,"Miami,Florida,United States of America",25.7840,-80.2102
@LindaTraitz,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@chavez66,"Tampa,Florida,United States of America",27.9937,-82.4454
@Layniac,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@housesandme,"San Diego,California,United States of America",32.8312,-117.1226
@JenniferCSchenk,"San Diego,California,United States of America",32.8312,-117.1226
@mauidiver1,"Wailuku,Hawaii,United States of America",20.8834,-156.5059
@WorkingWomanTV,"New York,New York,United States of America",40.6943,-73.9249
@pyrat3,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@jscates,"Nashville,Tennessee,United States of America",36.1714,-86.7844
