GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1096498889316880384	2019-02-15 19:58:01	http://twitter.com/prince17193709/status/1096498889316880384	b'@ucberkeley @ucbsoj @wesaamalbadry much love from me to you and your family'	@prince17193709	prince	Ghana			Positive	Joy	Twitter	M	5	1	30	@UCBerkeley @ucbsoj @wesaamalbadry Much love from me to you and your family👨‍👧‍👧👨‍👧‍👧	Reply		
1096199684778012672	2019-02-15 00:09:05	http://twitter.com/Fyght4Cal/status/1096199684778012672	b'rt @ucberkeley congratulations to @calperformances on a stunning caleidoscope,  a series of short performances that showcased the diverse talents of the berkeley community on the zellerbach stage.    #gobears'	@Fyght4Cal	Vote Anigwe Sr CLASS Award https://bit.ly/2GxuJkK	United States of America	California	Los Angeles	Positive	Joy	Twitter		41554	661	2039	RT @UCBerkeley Congratulations to @calperformances on a stunning “Caleidoscope,” — a series of short performances that showcased the diverse talents of the Berkeley community on the Zellerbach stage.🎶 🎤 🎻 💃🏽 #GoBears https://t.co/9yNYyA7RBt	Retweet		
1096499156762341376	2019-02-15 19:59:05	http://twitter.com/AStraww/status/1096499156762341376	b'rt @ucberkeley in documenting his family members refugee experiences, wesaam al-badry @ucbsoj captured their character & ways of maneuvering through life.   #gobears #dorothealangewinner @wesaamalbadry'	@AStraww	Aiden Hope Strawhun🌿🌙	United States of America			Positive	Joy	Twitter	M	19814	2252	720	RT @UCBerkeley In documenting his family members’ refugee experiences, Wesaam Al-Badry @ucbsoj captured their character & ways of maneuvering through life. 📷 💙 #GoBears #DorotheaLangeWinner @wesaamalbadry https://t.co/QKU1HDlgbC	Retweet		
1096304801141276672	2019-02-15 07:06:47	http://twitter.com/michael60847712/status/1096304801141276672	b'rt @ucberkeley happy #calentinesday, bears!  #berkeleypov by @harrisonmaphotography | artwork by @frida.hz'	@michael60847712	michael lee	United States of America	California	San Francisco	Positive	Joy	Twitter	M	1121	22	173	"RT @UCBerkeley Happy #CALentinesDay, Bears! 💙💛
#berkeleypov by @harrisonmaphotography | artwork by @frida.hz https://t.co/P3wl3PEJAd"	Retweet		
1096253891413458946	2019-02-15 03:44:29	http://twitter.com/SaraGomezAranci/status/1096253891413458946	b'rt @ucberkeley the @berkeleyhaas alumni community can now count cas first elected female #lieutenantgovernor among its ranks. @eleniforca said she would fight for accessibility & affordability in public education. #gobears #berkeley150'	@SaraGomezAranci	Sara Gomez Arancibia				Neutral	Neutral	Twitter	F	676835	1966	460	"RT @UCBerkeley The @BerkeleyHaas alumni community can now count CA’s first elected female #lieutenantgovernor among its ranks. @EleniForCA said she would fight for accessibility & affordability in public education. #GoBears #Berkeley150

https://t.co/962DwK4KUA"	Retweet		
1096328835128127488	2019-02-15 08:42:17	http://twitter.com/CalGnome/status/1096328835128127488	b'rt @ucberkeley the @berkeleyhaas alumni community can now count cas first elected female #lieutenantgovernor among its ranks. @eleniforca said she would fight for accessibility & affordability in public education. #gobears #berkeley150'	@CalGnome	Cal Gnome				Neutral	Neutral	Twitter	M	32342	1413	2934	"RT @UCBerkeley The @BerkeleyHaas alumni community can now count CA’s first elected female #lieutenantgovernor among its ranks. @EleniForCA said she would fight for accessibility & affordability in public education. #GoBears #Berkeley150

https://t.co/962DwK4KUA"	Retweet		
1096545735388983296	2019-02-15 23:04:10	http://twitter.com/PamelaSamuelson/status/1096545735388983296	b'rt @ucberkeley at 88, buxbaum @berkeleylaw, is among the oldest professors still teaching at uc berkeley, a place where turmoil has made some inroads over the years. #berkeleystories #fiatlux'	@PamelaSamuelson	Pamela Samuelson	United States of America	California	San Francisco	Neutral	Neutral	Twitter	F	16685	5147	899	"RT @UCBerkeley At 88, Buxbaum @BerkeleyLaw, is among the oldest professors still teaching at UC Berkeley, a place where turmoil has made some inroads over the years. #BerkeleyStories #FiatLux🌟 
https://t.co/PpmeL7aJev"	Retweet		
1096545367422693376	2019-02-15 23:02:43	http://twitter.com/stevendsolomon/status/1096545367422693376	b'rt @ucberkeley at 88, buxbaum @berkeleylaw, is among the oldest professors still teaching at uc berkeley, a place where turmoil has made some inroads over the years. #berkeleystories #fiatlux'	@stevendsolomon	Steven D. Solomon	United States of America			Neutral	Neutral	Twitter	M	1427	5973	496	"RT @UCBerkeley At 88, Buxbaum @BerkeleyLaw, is among the oldest professors still teaching at UC Berkeley, a place where turmoil has made some inroads over the years. #BerkeleyStories #FiatLux🌟 
https://t.co/PpmeL7aJev"	Retweet		
1096206125328945152	2019-02-15 00:34:41	http://twitter.com/Martinacuna1965/status/1096206125328945152	"b'rt @ucberkeley expert-tested ways to put the romance back into dating (apps)  ""digital technology allows us to shop for people, and the price for doing so may be higher than we can afford."" via @californiamag'"	@Martinacuna1965	Martín Acuña				Positive	Joy	Twitter	M	69591	624	428	"RT @UCBerkeley Expert-Tested Ways to Put the Romance Back into Dating (Apps) 🌹📱💞

""Digital technology allows us to shop for people, and the price for doing so may be higher than we can afford."" via @californiamag 
https://t.co/NCfIPnOZta"	Retweet		
1096273328795353089	2019-02-15 05:01:44	http://twitter.com/ursuslux/status/1096273328795353089	b'rt @ucberkeley happy #calentinesday, bears!  #berkeleypov by @harrisonmaphotography | artwork by @frida.hz'	@ursuslux	Alexander Salazar				Positive	Joy	Twitter	M	1306	140	1540	"RT @UCBerkeley Happy #CALentinesDay, Bears! 💙💛
#berkeleypov by @harrisonmaphotography | artwork by @frida.hz https://t.co/P3wl3PEJAd"	Retweet		
1096446505311973377	2019-02-15 16:29:52	http://twitter.com/JesParent/status/1096446505311973377	b'rt @ucberkeley gasp! first #audiomap of oohs, aahs and uh-ohs!  berkeley scientists conducted a statistical analysis of listener responses to 2,000+ nonverbal exclamations known as vocal bursts & found at least 24 kinds of emotion.     #berkeleyresearch'	@JesParent	Jesse Parent	United States of America	New York	New York	Neutral	Fear	Twitter	M	4559	615	1905	"RT @UCBerkeley Gasp! First #audiomap of oohs, aahs and uh-ohs! 😱 

Berkeley scientists conducted a statistical analysis of listener responses to 2,000+ nonverbal exclamations known as “vocal bursts” & found at least 24 kinds of emotion. 🗣️ 😮 😆 😡😭 #BerkeleyResearch

 https://t.co/WY95oU8ekF"	Retweet		
